0    [AWT-EventQueue-1] DEBUG com.caeps.gui.PSAnalysisPanel  - Inside establish learning set connection listener
8    [AWT-EventQueue-1] DEBUG com.caeps.run.ConnectToDB  - Loading driver...
34   [AWT-EventQueue-1] DEBUG com.caeps.run.ConnectToDB  - Driver loaded!
34   [AWT-EventQueue-1] DEBUG com.caeps.run.ConnectToDB  - Connecting database...
1087 [AWT-EventQueue-1] DEBUG com.caeps.run.ConnectToDB  - Database connected!
31579 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7324D6723635494784A4D8A9578FCE8A: 0.986735219827409, -6.785477108877741
31579 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7AC1BC6CDFAF4F26A97AD322E9F5AD31: 0.9962885328659818, -5.710378236414686
31579 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7DD325DCEFC248989B72AAD58D3DD4E9: 0.9605601322414791, -9.939117920184874
31579 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _95D3CD0256FB4C9DB2860CFEFA45CD57: 0.9599436441589857, -8.716727791873446
31579 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _9D8BB8E8B5DB40F6ABF515042B7DFF97: 0.8103354242853378, -23.19697583597255
31579 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Average Voltage: 0.9687030922427778, Average Angle: -6.937937022136923
31580 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster Description: null
31593 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster1
31594 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster1
31594 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster1
31594 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster1
31594 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster1
31595 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster1
31595 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster1
31595 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster1
31595 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster1
31595 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster2
31596 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster2
31596 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster2
31596 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster2
31596 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster2
31596 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster2
31597 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster2
31597 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster2
31597 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster2
31597 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster3
31597 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster3
31598 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster3
31598 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster3
31598 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster3
31598 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster3
31599 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster3
31599 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster3
31599 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster3
31599 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster4
31599 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster4
31599 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster4
31600 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster4
31600 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster4
31600 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster4
31600 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster4
31600 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster4
31600 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster4
31601 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster After iteration 3:
31601 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster: 1
31601 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _2BCC3D5923464FED9E08EB12EC388BD7: 1.0, 0.0
31601 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4273A87151C0409780237BFD866C23DA: 1.0, -20.576251131233185
31601 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4F715892155341C8A76534537F095B49: 1.0, -24.878781928932508
31601 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _58F637D8B03A4B12A67DF2E5797F9B6A: 0.8966520602683984, -15.160611955306429
31601 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7324D6723635494784A4D8A9578FCE8A: 0.8521143633813079, -27.320713062320145
31601 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7AC1BC6CDFAF4F26A97AD322E9F5AD31: 0.9546717635053752, -27.869575910250916
31601 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7DD325DCEFC248989B72AAD58D3DD4E9: 0.9042480888703684, -32.68329064580366
31601 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _95D3CD0256FB4C9DB2860CFEFA45CD57: 0.9385321147000946, -26.807922155496957
31602 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _9D8BB8E8B5DB40F6ABF515042B7DFF97: 0.8111799039624182, -29.802605741273375
31602 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Average Voltage: 0.9285998105208848, Average Angle: -22.788861392290798
31602 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster Description: null
31602 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster: 2
31602 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _2BCC3D5923464FED9E08EB12EC388BD7: 1.0, 0.0
31602 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4273A87151C0409780237BFD866C23DA: 1.0, 24.63144265415464
31602 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4F715892155341C8A76534537F095B49: 1.0, 19.397900400259857
31603 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _58F637D8B03A4B12A67DF2E5797F9B6A: 0.9906366469469208, 4.225579477283591
31603 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7324D6723635494784A4D8A9578FCE8A: 0.9942813870872651, 7.49202955983401
31603 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7AC1BC6CDFAF4F26A97AD322E9F5AD31: 1.014351850670887, 16.583242341062935
31603 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7DD325DCEFC248989B72AAD58D3DD4E9: 1.011179896133321, 17.077790231034243
31603 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _95D3CD0256FB4C9DB2860CFEFA45CD57: 1.0100354343190718, 18.84257912607699
31603 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _9D8BB8E8B5DB40F6ABF515042B7DFF97: 0.9829359223275074, 7.708157331034045
31604 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Average Voltage: 1.0003801263872194, Average Angle: 12.884302346748923
31604 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster Description: null
31604 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster: 3
31604 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _2BCC3D5923464FED9E08EB12EC388BD7: 1.0, 0.0
31604 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4273A87151C0409780237BFD866C23DA: 0.9999999999999999, -17.433714738163193
31604 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4F715892155341C8A76534537F095B49: 1.0, -10.329796996020209
31604 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _58F637D8B03A4B12A67DF2E5797F9B6A: 0.986038178373846, -7.962188747899354
31604 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7324D6723635494784A4D8A9578FCE8A: 0.975091853098605, -12.947832960323005
31604 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7AC1BC6CDFAF4F26A97AD322E9F5AD31: 0.9995817756510617, -13.186079546979409
31604 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7DD325DCEFC248989B72AAD58D3DD4E9: 0.9802944261435979, -18.061842446013845
31604 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _95D3CD0256FB4C9DB2860CFEFA45CD57: 0.9909303620358894, -17.433714738163193
31604 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _9D8BB8E8B5DB40F6ABF515042B7DFF97: 0.9579416514742434, -15.38706690319387
31604 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Average Voltage: 0.9877642496419159, Average Angle: -12.526915230750674
31604 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster Description: null
31605 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster: 4
31605 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _2BCC3D5923464FED9E08EB12EC388BD7: 1.0, 0.0
31605 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4273A87151C0409780237BFD866C23DA: 1.0, -2.6245679129458654
31605 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4F715892155341C8A76534537F095B49: 1.0, -2.8446436444637606
31605 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _58F637D8B03A4B12A67DF2E5797F9B6A: 1.0044648768058075, -2.62354474849939
31605 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7324D6723635494784A4D8A9578FCE8A: 0.986735219827409, -6.785477108877741
31605 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7AC1BC6CDFAF4F26A97AD322E9F5AD31: 0.9962885328659818, -5.710378236414686
31605 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7DD325DCEFC248989B72AAD58D3DD4E9: 0.9605601322414791, -9.939117920184874
31605 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _95D3CD0256FB4C9DB2860CFEFA45CD57: 0.9599436441589857, -8.716727791873446
31605 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _9D8BB8E8B5DB40F6ABF515042B7DFF97: 0.8103354242853378, -23.19697583597255
31605 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Average Voltage: 0.9687030922427778, Average Angle: -6.937937022136923
31605 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster Description: null
31605 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Converge? true
31605 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Clustering converges after 4 iterations
31606 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - ************************************Resulting clusters*****************************************************
31606 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster: 1
31606 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _2BCC3D5923464FED9E08EB12EC388BD7: 1.0, 0.0
31606 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4273A87151C0409780237BFD866C23DA: 1.0, -20.576251131233185
31606 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4F715892155341C8A76534537F095B49: 1.0, -24.878781928932508
31606 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _58F637D8B03A4B12A67DF2E5797F9B6A: 0.8966520602683984, -15.160611955306429
31606 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7324D6723635494784A4D8A9578FCE8A: 0.8521143633813079, -27.320713062320145
31606 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7AC1BC6CDFAF4F26A97AD322E9F5AD31: 0.9546717635053752, -27.869575910250916
31606 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7DD325DCEFC248989B72AAD58D3DD4E9: 0.9042480888703684, -32.68329064580366
31606 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _95D3CD0256FB4C9DB2860CFEFA45CD57: 0.9385321147000946, -26.807922155496957
31606 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _9D8BB8E8B5DB40F6ABF515042B7DFF97: 0.8111799039624182, -29.802605741273375
31606 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Average Voltage: 0.9285998105208848, Average Angle: -22.788861392290798
31606 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster Description: Day-time high load
31606 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster: 2
31606 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _2BCC3D5923464FED9E08EB12EC388BD7: 1.0, 0.0
31606 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4273A87151C0409780237BFD866C23DA: 1.0, 24.63144265415464
31606 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4F715892155341C8A76534537F095B49: 1.0, 19.397900400259857
31607 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _58F637D8B03A4B12A67DF2E5797F9B6A: 0.9906366469469208, 4.225579477283591
31607 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7324D6723635494784A4D8A9578FCE8A: 0.9942813870872651, 7.49202955983401
31607 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7AC1BC6CDFAF4F26A97AD322E9F5AD31: 1.014351850670887, 16.583242341062935
31607 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7DD325DCEFC248989B72AAD58D3DD4E9: 1.011179896133321, 17.077790231034243
31607 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _95D3CD0256FB4C9DB2860CFEFA45CD57: 1.0100354343190718, 18.84257912607699
31607 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _9D8BB8E8B5DB40F6ABF515042B7DFF97: 0.9829359223275074, 7.708157331034045
31607 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Average Voltage: 1.0003801263872194, Average Angle: 12.884302346748923
31607 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster Description: Night-time lower load
31607 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster: 3
31607 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _2BCC3D5923464FED9E08EB12EC388BD7: 1.0, 0.0
31607 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4273A87151C0409780237BFD866C23DA: 0.9999999999999999, -17.433714738163193
31607 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4F715892155341C8A76534537F095B49: 1.0, -10.329796996020209
31607 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _58F637D8B03A4B12A67DF2E5797F9B6A: 0.986038178373846, -7.962188747899354
31607 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7324D6723635494784A4D8A9578FCE8A: 0.975091853098605, -12.947832960323005
31608 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7AC1BC6CDFAF4F26A97AD322E9F5AD31: 0.9995817756510617, -13.186079546979409
31608 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7DD325DCEFC248989B72AAD58D3DD4E9: 0.9802944261435979, -18.061842446013845
31608 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _95D3CD0256FB4C9DB2860CFEFA45CD57: 0.9909303620358894, -17.433714738163193
31608 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _9D8BB8E8B5DB40F6ABF515042B7DFF97: 0.9579416514742434, -15.38706690319387
31608 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Average Voltage: 0.9877642496419159, Average Angle: -12.526915230750674
31608 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster Description: Generator on Maintenance
31608 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster: 4
31608 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _2BCC3D5923464FED9E08EB12EC388BD7: 1.0, 0.0
31608 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4273A87151C0409780237BFD866C23DA: 1.0, -2.6245679129458654
31608 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4F715892155341C8A76534537F095B49: 1.0, -2.8446436444637606
31608 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _58F637D8B03A4B12A67DF2E5797F9B6A: 1.0044648768058075, -2.62354474849939
31608 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7324D6723635494784A4D8A9578FCE8A: 0.986735219827409, -6.785477108877741
31608 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7AC1BC6CDFAF4F26A97AD322E9F5AD31: 0.9962885328659818, -5.710378236414686
31608 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7DD325DCEFC248989B72AAD58D3DD4E9: 0.9605601322414791, -9.939117920184874
31608 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _95D3CD0256FB4C9DB2860CFEFA45CD57: 0.9599436441589857, -8.716727791873446
31609 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _9D8BB8E8B5DB40F6ABF515042B7DFF97: 0.8103354242853378, -23.19697583597255
31609 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Average Voltage: 0.9687030922427778, Average Angle: -6.937937022136923
31609 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster Description: Line on maintenance
31609 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - ************************************Resulting clusters*****************************************************
31609 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - ************************************Resulting learning instants*****************************************************
31609 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 1:-23.88808178851789:0.928093319365428:Day-time high load
31609 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 2:-21.072866473198943:0.9316099334811648:Day-time high load
31609 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 3:-21.897260407497257:0.9259288801597962:Day-time high load
31609 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 4:-24.02014104401902:0.9251550475602897:Day-time high load
31609 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 5:-21.983148007954913:0.9285320116484601:Day-time high load
31609 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 6:-23.22354860416128:0.9312861440834781:Day-time high load
31610 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 7:-24.080293816191013:0.9274794673799942:Day-time high load
31610 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 8:-24.969307899334364:0.9218186424325133:Day-time high load
31610 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 9:-20.94700341472484:0.9382841037484826:Day-time high load
31610 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 10:-20.87480920892196:0.9352573987587031:Day-time high load
31610 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 11:-21.386991269844504:0.9366157174939053:Day-time high load
31610 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 12:-23.415305627009577:0.9253482421096204:Day-time high load
31610 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 13:-23.35230207104665:0.9242469412108663:Day-time high load
31610 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 14:-21.849937093235162:0.9303717635651514:Day-time high load
31610 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 15:-23.143333957617543:0.9278398650660775:Day-time high load
31610 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 16:-22.912057841127293:0.9251151318650602:Day-time high load
31610 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 17:-21.757751827713243:0.92879894649223:Day-time high load
31610 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 18:-22.495220036464207:0.9324246364056885:Day-time high load
31610 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 19:-22.89494134463035:0.9272040794853508:Day-time high load
31610 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 20:-23.44723245358063:0.9284959905362165:Day-time high load
31611 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 21:-22.40205085348667:0.9324270180784267:Day-time high load
31611 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 22:-23.77376866899892:0.927326325608387:Day-time high load
31611 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 23:-22.607726718546495:0.9307590946377111:Day-time high load
31611 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 24:-22.014702870874448:0.9263833170172894:Day-time high load
31611 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 25:-22.880456052901756:0.9292682953012663:Day-time high load
31611 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 26:-20.3266441416891:0.9384381926115642:Day-time high load
31611 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 27:-23.69148053750936:0.9282128990021827:Day-time high load
31611 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 28:-23.59164539068678:0.9276198306344912:Day-time high load
31611 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 29:-23.584272641574916:0.9253119778951024:Day-time high load
31611 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 30:-20.89838138290429:0.9337780632733342:Day-time high load
31612 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 31:-24.33858783759244:0.9254168982494956:Day-time high load
31612 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 32:-23.326255674965005:0.9269597058400328:Day-time high load
31612 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 33:-22.428284290824045:0.9285513088005811:Day-time high load
31612 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 34:-23.04301113608245:0.9313105056333963:Day-time high load
31612 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 35:-23.37843926662227:0.9259485847891707:Day-time high load
31612 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 36:-20.715460580024676:0.9341679288320416:Day-time high load
31612 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 37:-22.46977373789611:0.926489445825896:Day-time high load
31612 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 38:-22.33940584470939:0.9249023519918206:Day-time high load
31612 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 39:-21.889173294274897:0.9320879623247422:Day-time high load
31612 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 40:-23.14325508282594:0.924212681135303:Day-time high load
31612 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 41:-22.550473681813862:0.9296938837370224:Day-time high load
31613 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 42:-22.14775583910812:0.9272585873574957:Day-time high load
31613 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 43:-24.584163119019156:0.9250621941813382:Day-time high load
31613 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 44:-23.945049886585494:0.929419564921052:Day-time high load
31613 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 45:-21.99211794578665:0.9295283541389039:Day-time high load
31613 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 46:-24.520667404378386:0.9235887210091559:Day-time high load
31613 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - 47:-23.01795135574621:0.9268704665296299:Day-time high load
