0    [AWT-EventQueue-1] DEBUG com.caeps.gui.PSAnalysisPanel  - Inside establish learning set connection listener
8    [AWT-EventQueue-1] DEBUG com.caeps.run.ConnectToDB  - Loading driver...
34   [AWT-EventQueue-1] DEBUG com.caeps.run.ConnectToDB  - Driver loaded!
34   [AWT-EventQueue-1] DEBUG com.caeps.run.ConnectToDB  - Connecting database...
1087 [AWT-EventQueue-1] DEBUG com.caeps.run.ConnectToDB  - Database connected!
31490 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _9D8BB8E8B5DB40F6ABF515042B7DFF97: 0.958721118, -15.49219181
31491 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Average Voltage: 0.987070028, Average Angle: -12.687612035777779
31491 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster Description: null
31491 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster: 4
31491 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _2BCC3D5923464FED9E08EB12EC388BD7: 1.0, 0.0
31492 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4273A87151C0409780237BFD866C23DA: 1.0, -17.13655189
31492 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4F715892155341C8A76534537F095B49: 1.0, -10.01128886
31492 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _58F637D8B03A4B12A67DF2E5797F9B6A: 0.985951073, -7.777318405
31492 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7324D6723635494784A4D8A9578FCE8A: 0.975370894, -12.594849
31493 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7AC1BC6CDFAF4F26A97AD322E9F5AD31: 0.999524499, -12.86773243
31493 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _7DD325DCEFC248989B72AAD58D3DD4E9: 0.98001145, -17.7657806
31493 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _95D3CD0256FB4C9DB2860CFEFA45CD57: 0.99064858, -17.13655189
31494 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _9D8BB8E8B5DB40F6ABF515042B7DFF97: 0.956950585, -15.07717632
31494 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Average Voltage: 0.9876063423333333, Average Angle: -12.263027710555557
31494 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster Description: null
31495 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - ************************************Initial clusters*******************************
31495 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Initial cluster at iteration 1:
31495 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster: 1
31495 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _2BCC3D5923464FED9E08EB12EC388BD7: 1.0, 0.0
31496 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4273A87151C0409780237BFD866C23DA: 1.0, -21.96271334
31496 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _4F715892155341C8A76534537F095B49: 1.0, -26.18296599
31496 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _58F637D8B03A4B12A67DF2E5797F9B6A: 0.892306217, -15.78925837
