0    [main] DEBUG com.caeps.loadDatabase.ConnectToDB  - Loading driver...
28   [main] DEBUG com.caeps.loadDatabase.ConnectToDB  - Driver loaded!
29   [main] DEBUG com.caeps.loadDatabase.ConnectToDB  - Connecting database...
998  [main] DEBUG com.caeps.loadDatabase.ConnectToDB  - Database connected!
12456 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 1:1.0:0.0
12562 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 1:0.9971548455573683:0.8869370807327956
12562 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 2:1.0071134362246554:19.30659095051773
12562 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 3:0.9753260593113017:-12.655292145153782
12563 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 4:0.9063752729770074:-26.968374574443185
12566 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 529.4212222995698:531
12571 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 251.77835905616385:250
12574 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 622.0184438355823:638
12576 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 345.2332502654437:381
12577 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 1:0.9970267839916568:0.7735531020874602
12577 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 2:1.0071134362246554:19.30659095051773
12577 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 3:0.9749505389272449:-12.784882368731266
12578 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 4:0.9061240164447342:-27.02594374771808
12579 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 533.4048613904031:535
12580 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 251.77835905616385:250
12581 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 618.034804744749:634
12582 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 345.2332502654437:381
12582 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 1:0.9970184325054263:0.7232378737558552
12582 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 2:1.0071134362246554:19.30659095051773
12583 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 3:0.9748183040137997:-12.82796611435566
12583 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 4:0.9061240164447342:-27.02594374771808
12583 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 1:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12583 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 2:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12584 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 3:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12584 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 4:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12584 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 5:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12584 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 6:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12585 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 7:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12585 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 8:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12585 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 9:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12585 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 10:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12585 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 11:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12585 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 12:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12586 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 13:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12586 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 14:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12586 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 15:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12586 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 16:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12586 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 17:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12586 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 18:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12587 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 19:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12587 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 20:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12587 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 21:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12587 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 22:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12587 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 23:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12587 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 24:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12587 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 25:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12588 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 26:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12588 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 27:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12588 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 28:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12588 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 29:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12588 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 30:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12588 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 31:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12588 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 32:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12588 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 33:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12588 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 34:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12589 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 35:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12589 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 36:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12589 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 37:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12590 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 38:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12590 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 39:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12591 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 40:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12591 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 41:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12592 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 42:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
